doc_id,doc_type,title,content,product,valid_from,valid_to,version,indexed_at
KB-1,policy,Standard Refund & Billing Dispute Policy v4,Customers are eligible for a full refund within 30 days of purchase if the service did not meet advertised specifications. Duplicate charges are refunded within 3–5 business days upon verification. Refund requests must include a valid order ID. Billing disputes older than 90 days require escalation to the billing team. Prorated credits are issued for verified service outages exceeding 4 hours. Chargebacks initiated without prior contact will result in account review.,all,2025-08-03,,v4.0,2026-06-22T12:29:39
KB-2,policy,Returns & Exchange Policy v3,"Items may be returned within 30 days of delivery in original, unused condition. Damaged items are eligible for immediate replacement or refund regardless of return window. Wrong-item shipments receive a prepaid return label and expedited replacement. Exchanges are processed within 2 business days of receiving the returned item. Digital products and downloadable software are non-refundable once accessed.",all,2025-12-20,,v3.1,2026-06-18T12:29:39
KB-3,faq,Account Access & Security FAQ,"Q: Why is my account locked? A: Accounts are locked after 5 consecutive failed login attempts. Contact support with your registered email to unlock. Q: How do I change my email address? A: Go to Settings → Profile → Email. Verification is required at both old and new addresses. Q: What happens if I lose my 2FA device? A: Use your backup codes. If unavailable, contact support with government ID for manual verification. Q: How do I delete my account? A: Settings → Privacy → Delete Account. Data is removed within 30 days.",all,2025-10-03,,v2.3,2026-06-23T12:29:39
KB-4,sop,Technical Escalation SOP — App Crash & Sync Failures,"Step 1: Confirm the app version and OS version. Step 2: Ask customer to clear app cache (Settings → App → Clear Cache). Step 3: If issue persists, collect crash log via Settings → Diagnostics → Export Log. Step 4: Submit log to engineering via internal ticket with tag [APP-CRASH]. Step 5: Provide customer with workaround (web dashboard) until fix is deployed. SLA: Engineering acknowledgment within 4 hours for critical crashes affecting >1% of users.",MobileApp,2025-10-13,,v1.5,2026-06-20T12:29:39
KB-5,policy,SLA & Response Time Commitments,"Critical issues: first response within 1 hour, resolution target 4 hours. High priority: first response within 4 hours, resolution target 8 hours. Medium priority: first response within 8 hours, resolution target 24 hours. Low priority: first response within 24 hours, resolution target 72 hours. SLA clock pauses when awaiting customer response. Enterprise customers receive 50% faster SLA targets.",all,2025-12-19,,v2.0,2026-06-18T12:29:39
KB-6,template,Agent Response Templates — Billing,Duplicate charge: 'I've confirmed the duplicate transaction and initiated a full refund. You'll see it in 3–5 business days.' Subscription cancel + charge: 'I can see your cancellation was processed. The charge has been reversed. Confirmation: [ID].' Invoice error: 'I've corrected your account to [PLAN]. The difference of [AMOUNT] has been refunded.' Outage credit: 'A prorated credit of [AMOUNT] has been applied to your account for the [DATE] service disruption.',all,2025-09-01,,v3.2,2026-06-17T12:29:39
KB-7,faq,Data Privacy & Retention FAQ,"Q: How long do you keep my data? A: Active account data is retained for the duration of the subscription plus 90 days. Q: Can I export my data? A: Yes, via Settings → Data → Export (CSV, JSON, PDF). Exports ready within 1 hour. Q: Do you sell customer data? A: No. Data is never sold to third parties. Q: What data do you collect? A: Usage logs, support tickets, and billing records. No biometric data is collected. Q: How do I request data deletion? A: Submit a formal deletion request via Settings or email privacy@[company].com.",all,2025-10-23,,v1.8,2026-06-21T12:29:39
KB-8,sop,Billing Team Escalation SOP,"Escalate to billing team when: (1) dispute value exceeds $500, (2) issue persists after first-line resolution attempt, (3) customer requests chargeback. Required fields in escalation ticket: original charge date, amount, last 4 card digits, customer consent to review. Billing team SLA: 2 business days response. Do not promise specific refund amounts before billing team review.",all,2025-07-05,,v2.1,2026-06-21T12:29:39
KB-9,faq,Integrations & Third-Party Tools FAQ,"Q: What project management tools do you integrate with? A: Jira, Asana, Monday.com, Trello, Linear, and Notion. Q: Is there an API? A: Yes, REST API with OAuth 2.0. Docs at docs.[company].com/api. Q: Can I use Zapier? A: Yes, our Zapier app supports 50+ triggers and actions. Q: Is Slack integration available? A: Yes, for ProPlan and above. Setup guide in KB-10. Q: Are webhooks supported? A: Yes, configurable in Settings → Developer → Webhooks.",ProPlan,2025-09-27,,v1.2,2026-06-22T12:29:39
KB-10,sop,Slack Integration Setup Guide,"Step 1: Go to Settings → Integrations → Slack and click 'Connect Workspace'. Step 2: Authorize with your Slack admin credentials. Step 3: Select the channels to receive notifications. Step 4: Configure notification triggers (new ticket, SLA breach, escalation). Step 5: Test the connection using the 'Send Test Message' button. Note: Slack integration requires ProPlan or above. Basic Plan users will see an upgrade prompt.",ProPlan,2025-10-17,,v1.0,2026-06-20T12:29:39
KB-11,policy,Enterprise Account Management Policy,"Enterprise accounts receive a dedicated Customer Success Manager (CSM). Custom SLA agreements are negotiated at contract signing. Onboarding includes a 4-week implementation program with weekly check-ins. Enterprise accounts have access to custom reporting, SSO, and role-based permissions. Volume discounts apply at 10, 25, and 50+ seat tiers. Annual contracts include a 90-day exit clause with data export guarantee.",EnterpriseSuite,2025-12-14,,v2.0,2026-06-21T12:29:39
KB-12,template,Agent Response Templates — Technical Issues,"Login issue: 'I've reset your credentials. Please clear browser cache and try the password reset link sent to your email.' App crash: 'I've escalated this to engineering. As a workaround, please use our web dashboard. Reference: [TICKET-ID].' Sync failure: 'I've triggered a manual sync. Please wait 30 minutes and refresh both devices.' Performance issue: 'Our team is investigating. Try a hard refresh (Ctrl+Shift+R). ETA for resolution: [TIME].'",all,2025-08-31,,v2.5,2026-06-18T12:29:39
KB-13,policy,Agent Code of Conduct & PII Handling Policy,"Agents must never record full credit card numbers, SSNs, or passwords in ticket notes. PII detected in customer messages must be redacted before escalation. Anonymization tool is available in the agent dashboard sidebar. Tickets with unredacted PII are automatically flagged by the system and will be quarantined. Violations are reviewed by the compliance team. Repeated violations result in access suspension.",all,2025-07-17,,v3.0,2026-06-21T12:29:39
KB-14,sop,Outage & Incident Response SOP,"When a system outage is confirmed: Step 1: Check the internal status dashboard for active incident. Step 2: Do not promise a resolution time unless officially posted on status page. Step 3: Acknowledge all incoming tickets with the outage template (KB-15). Step 4: Log all outage-related tickets with tag [OUTAGE-INC-YYYY-MM-DD]. Step 5: After resolution, prorated credits are applied automatically. No manual action needed. SLA clock pauses automatically during declared incidents.",all,2025-11-15,,v1.3,2026-06-22T12:29:39
KB-15,template,Outage Acknowledgment Template,Subject: Service Disruption — We're On It. Body: 'We're aware of an issue affecting [SERVICE] and our engineering team is actively working on a fix. You can follow real-time updates at status.[company].com. We'll notify you as soon as service is restored. We sincerely apologize for the inconvenience and will apply a service credit to your account automatically once resolved. Thank you for your patience.',all,2025-08-06,,v2.0,2026-06-17T12:29:39
